,save_date,court_name,court_office,case_number,case_itemNum,casedate_full,casedate_year,casedate_month,casedate_date,casedate_day,category,address_full,address_sido,address_gugun,address_donggil,address_jibeon,area,area_py,price_estimate,price_bidding,discount_rate,number_miss,sale_type
21,2023-03-22-191046,서울중앙지방법원,경매4계,2021타경3756,2.0,2023-03-22,2023,3,22,수,임야,서울특별시 종로구 부암동 359-9,서울특별시,종로구,부암동,359-9,3314.0,1002.5,149130000,61083000,60,4,지분매각
22,2023-03-22-191046,서울중앙지방법원,경매21계,2021타경4612,1.0,2023-03-28,2023,3,28,화,다세대,"서울특별시 동작구 국사봉1가길 7, 3층302호",서울특별시,동작구,국사봉1가길,7,54.92,16.6,270000000,172800000,36,2,
23,2023-03-22-191046,서울중앙지방법원,경매10계,2021타경4650,1.0,2023-04-05,2023,4,5,수,다세대,"서울특별시 관악구 법원단지7길 69, 2층201호",서울특별시,관악구,법원단지7길,69,40.54,12.3,300000000,98304000,68,5,
24,2023-03-22-191046,서울중앙지방법원,경매7계,2021타경4735,1.0,2023-03-23,2023,3,23,목,상가,"서울특별시 관악구 남부순환로 1820, 지1층비1040호 (봉천동,에그옐로우)",서울특별시,관악구,남부순환로,1820,5.42,1.6,47000000,19251000,60,4,
25,2023-03-22-191046,서울중앙지방법원,경매21계,2021타경4964,1.0,2023-03-28,2023,3,28,화,상가,"서울특별시 종로구 종로 183, 지1층제이지1312호 (인의동,효성주얼리시티)",서울특별시,종로구,종로,183,8.38,2.5,136000000,87040000,36,2,일괄매각
26,2023-03-22-191046,서울중앙지방법원,경매21계,2021타경4964,2.0,2023-03-28,2023,3,28,화,상가,"서울특별시 종로구 종로 183, 2층제이2382호 (인의동,효성주얼리시티)",서울특별시,종로구,종로,183,13.5,4.1,111000000,71040000,36,2,
27,2023-03-22-191046,서울중앙지방법원,경매7계,2021타경100169,1.0,2023-03-23,2023,3,23,목,상가,"서울특별시 중구 퇴계로 115, 2층55호 (충무로1가,밀리오레명동)",서울특별시,중구,퇴계로,115,4.3,1.3,209000000,54788000,74,6,
28,2023-03-22-191046,서울중앙지방법원,경매21계,2021타경100398,1.0,2023-03-28,2023,3,28,화,아파트,"서울특별시 강남구 삼성로 212, 7동 14층1408호 (대치동,은마아파트)",서울특별시,강남구,삼성로,212,104.71,31.7,2360000000,2360000000,0,0,
29,2023-03-22-191046,서울중앙지방법원,경매4계,2021타경101278,1.0,2023-03-22,2023,3,22,수,다세대,"서울특별시 관악구 난곡로11길 26-3, 5층501호 (신림동,서래하우스)",서울특별시,관악구,난곡로11길,26-3,30.65,9.3,239000000,16424000,94,2,
30,2023-03-22-191046,서울중앙지방법원,경매10계,2021타경102134,1.0,2023-04-05,2023,4,5,수,기타,"서울특별시 관악구 난우2길 5, 2층204호 (신림동,한나래15차)",서울특별시,관악구,난우2길,5,35.61,10.8,211000000,55313000,74,6,
31,2023-03-22-191046,서울중앙지방법원,경매10계,2021타경103151,1.0,2023-04-05,2023,4,5,수,다세대,"서울특별시 관악구 은천로35길 33-10, 4층402호",서울특별시,관악구,은천로35길,33-10,46.99,14.2,330000000,55365000,84,8,
32,2023-03-22-191046,서울중앙지방법원,경매7계,2021타경103748,1.0,2023-03-23,2023,3,23,목,다세대,"서울특별시 관악구 중앙1가길 30, 4층401호 (봉천동,도원아트빌)",서울특별시,관악구,중앙1가길,30,74.03,22.4,484000000,126878000,74,6,
33,2023-03-22-191046,서울중앙지방법원,경매7계,2021타경104376,1.0,2023-03-23,2023,3,23,목,다세대,"서울특별시 서초구 명달로26길 16, 2층202호 (서초동,두손베스티움)",서울특별시,서초구,명달로26길,16,29.67,9.0,446000000,285440000,36,2,
34,2023-03-22-191046,서울중앙지방법원,경매4계,2021타경104994,1.0,2023-03-22,2023,3,22,수,임야,서울특별시 관악구 봉천동 산54-23,서울특별시,관악구,봉천동,산54-23,17015.0,5147.0,147899824,38771000,74,6,지분매각
35,2023-03-22-191046,서울중앙지방법원,경매10계,2021타경105355,1.0,2023-04-05,2023,4,5,수,다세대,"서울특별시 관악구 법원단지28길 20, 5층503호 (신림동,삼성원빌)",서울특별시,관악구,법원단지28길,20,29.63,9.0,207000000,54264000,74,6,
36,2023-03-22-191046,서울중앙지방법원,경매7계,2021타경106334,1.0,2023-03-23,2023,3,23,목,상가,"서울특별시 중구 장충단로 253, 1층31호 (을지로6가,헬로우에이피엠)",서울특별시,중구,장충단로,253,3.77,1.1,61100000,20021000,68,5,
37,2023-03-22-191046,서울중앙지방법원,경매10계,2021타경106358,1.0,2023-04-05,2023,4,5,수,기타,"서울특별시 중구 장충단로 253, 3층1호 (을지로6가,헬로우에이피엠)",서울특별시,중구,장충단로,253,3.77,1.1,40000000,13107000,68,5,
38,2023-03-22-191046,서울중앙지방법원,경매10계,2021타경106945,1.0,2023-04-05,2023,4,5,수,다세대,"서울특별시 동작구 성대로16길 33-2, 2층202호 (상도동,안다하우스)",서울특별시,동작구,성대로16길,33-2,44.16,13.4,220000000,57672000,74,6,
39,2023-03-22-191046,서울중앙지방법원,경매10계,2021타경107030,1.0,2023-04-05,2023,4,5,수,기타,"서울특별시 관악구 봉천로17가길 16-16, 2층202호 (봉천동,드림캐슬)",서울특별시,관악구,봉천로17가길,16-16,60.74,18.4,330000000,108134000,68,5,
40,2023-03-22-191046,서울중앙지방법원,경매7계,2021타경107535,1.0,2023-03-23,2023,3,23,목,아파트,"서울특별시 종로구 지봉로12가길 4, 5층501호 (숭인동,숭인빌라)",서울특별시,종로구,지봉로12가길,4,29.72,9.0,92000000,30146000,68,5,
41,2023-03-22-191046,서울중앙지방법원,경매21계,2021타경107948,1.0,2023-03-28,2023,3,28,화,오피스텔,"서울특별시 강남구 도곡로3길 19, 5층502호 (역삼동,강남역서희스타힐스오피스텔)",서울특별시,강남구,도곡로3길,19,24.56,7.4,208000000,106496000,49,3,
42,2023-03-22-191046,서울중앙지방법원,경매21계,2021타경108187,1.0,2023-03-28,2023,3,28,화,다세대,"서울특별시 관악구 난우2길 5, 2층203호 (신림동,한나래15차)",서울특별시,관악구,난우2길,5,35.61,10.8,215000000,70451000,68,5,
43,2023-03-22-191046,서울중앙지방법원,경매7계,2021타경109159,1.0,2023-03-23,2023,3,23,목,다세대,서울특별시 동작구 사당동 419-152 씨에스하우스 5층503호,서울특별시,동작구,사당동,419-152,29.21,8.8,290000000,95027000,68,5,
44,2023-03-22-191046,서울중앙지방법원,경매7계,2021타경109319,1.0,2023-03-23,2023,3,23,목,다세대,"서울특별시 동작구 성대로10길 62, 1층101호 (상도동,상도로지빌)",서울특별시,동작구,성대로10길,62,29.25,8.8,187000000,76595000,60,4,
45,2023-03-22-191046,서울중앙지방법원,경매10계,2021타경109838,1.0,2023-04-05,2023,4,5,수,다세대,"서울특별시 종로구 동숭4나길 36, 2층201호",서울특별시,종로구,동숭4나길,36,59.04,17.9,85000000,43520000,49,3,지분매각
46,2023-03-22-191046,서울중앙지방법원,경매10계,2021타경110029,1.0,2023-04-05,2023,4,5,수,다세대,"서울특별시 동작구 등용로 75, 2층201호 (대방동,트라움빌)",서울특별시,동작구,등용로,75,29.5,8.9,316000000,103547000,68,5,
47,2023-03-22-191046,서울중앙지방법원,경매21계,2021타경110135,1.0,2023-03-28,2023,3,28,화,다세대,"서울특별시 관악구 남부순환로182길 30, 102동 4층402호 (신림동,신림뉴씨엘)",서울특별시,관악구,남부순환로182길,30,29.99,9.1,327000000,107151000,68,5,
48,2023-03-22-191046,서울중앙지방법원,경매21계,2021타경111169,1.0,2023-03-28,2023,3,28,화,다세대,"서울특별시 동작구 양녕로25길 30, 3층301호 (상도동,상도젠트리하임)",서울특별시,동작구,양녕로25길,30,30.69,9.3,257000000,84214000,68,5,
49,2023-03-22-191046,서울중앙지방법원,경매7계,2021타경111534,1.0,2023-03-23,2023,3,23,목,아파트,"서울특별시 서초구 서초중앙로22길 25, 4층428호 (서초동,서초리시온)",서울특별시,서초구,서초중앙로22길,25,49.92,15.1,604000000,386560000,36,2,
50,2023-03-22-191046,서울중앙지방법원,경매10계,2021타경111633,,2023-04-05,2023,4,5,수,상가,서울특별시 서초구 서초동 1332-2,서울특별시,서초구,서초동,1332-2,16158.81,4888.1,8633900000,8633900000,0,0,일괄매각
51,2023-03-22-191046,서울중앙지방법원,경매4계,2022타경99,1.0,2023-03-22,2023,3,22,수,아파트,"서울특별시 서초구 서초중앙로 188, 31층씨-3101호 (서초동,아크로비스타)",서울특별시,서초구,서초중앙로,188,149.17,45.1,2900000000,2900000000,0,0,
52,2023-03-22-191046,서울중앙지방법원,경매7계,2022타경389,1.0,2023-03-23,2023,3,23,목,다세대,"서울특별시 동작구 남부순환로257가길 5, 3층303호",서울특별시,동작구,남부순환로257가길,5,34.46,10.4,342000000,175104000,49,3,
53,2023-03-22-191046,서울중앙지방법원,경매21계,2022타경594,1.0,2023-03-28,2023,3,28,화,대지,서울특별시 중구 신당동 432-2012,서울특별시,중구,신당동,432-2012,96.0,29.0,648000000,362880000,44,1,
54,2023-03-22-191046,서울중앙지방법원,경매4계,2022타경723,1.0,2023-03-22,2023,3,22,수,다세대,"서울특별시 동작구 국사봉1길 213, 3층301호 (상도동,리첸스타)",서울특별시,동작구,국사봉1길,213,50.2,15.2,371000000,371000000,0,0,
55,2023-03-22-191046,서울중앙지방법원,경매4계,2022타경747,1.0,2023-03-22,2023,3,22,수,아파트,"서울특별시 동작구 남부순환로265길 32, 2동 5층501호",서울특별시,동작구,남부순환로265길,32,53.0,16.0,573000000,234701000,60,4,
56,2023-03-22-191046,서울중앙지방법원,경매7계,2022타경754,1.0,2023-03-23,2023,3,23,목,근린시설,"서울특별시 중구 남대문시장길 61, 9층901호",서울특별시,중구,남대문시장길,61,11.82,3.6,137000000,70144000,49,3,
57,2023-03-22-191046,서울중앙지방법원,경매7계,2022타경846,1.0,2023-03-23,2023,3,23,목,대지,서울특별시 서초구 신원동 192-10,서울특별시,서초구,신원동,192-10,518.0,156.7,4631804980,2964355000,37,2,일괄매각
58,2023-03-22-191046,서울중앙지방법원,경매21계,2022타경1122,1.0,2023-03-28,2023,3,28,화,상가,"서울특별시 종로구 종로 183, 지1층제이지1343호 (인의동,효성주얼리시티)",서울특별시,종로구,종로,183,16.67,5.0,235000000,96256000,60,4,
59,2023-03-22-191046,서울중앙지방법원,경매21계,2022타경1122,2.0,2023-03-28,2023,3,28,화,상가,"서울특별시 종로구 종로 183, 지1층제이지1344호 (인의동,효성주얼리시티)",서울특별시,종로구,종로,183,9.72,2.9,152000000,62259000,60,4,
60,2023-03-22-191046,서울중앙지방법원,경매21계,2022타경1122,3.0,2023-03-28,2023,3,28,화,상가,"서울특별시 종로구 종로 183, 지1층제이지1345호 (인의동,효성주얼리시티)",서울특별시,종로구,종로,183,9.72,2.9,152000000,62259000,60,4,
61,2023-03-22-191046,서울중앙지방법원,경매21계,2022타경1122,4.0,2023-03-28,2023,3,28,화,상가,"서울특별시 종로구 종로 183, 지1층제이지1346호 (인의동,효성주얼리시티)",서울특별시,종로구,종로,183,9.72,2.9,152000000,62259000,60,4,
62,2023-03-22-191046,서울중앙지방법원,경매7계,2022타경1290,1.0,2023-03-23,2023,3,23,목,아파트,"서울특별시 강남구 언주로97길 22, 101동 2층202호 (역삼동,역삼동프라임아파트)",서울특별시,강남구,언주로97길,22,125.11,37.8,1570000000,1256000000,20,1,
63,2023-03-22-191046,서울중앙지방법원,경매4계,2022타경1603,1.0,2023-03-22,2023,3,22,수,아파트,"서울특별시 관악구 행운5길 20, 7층704호 (봉천동,더갤러리테라스)",서울특별시,관악구,행운5길,20,35.98,10.9,389000000,199168000,49,3,
64,2023-03-22-191046,서울중앙지방법원,경매10계,2022타경1627,,2023-04-05,2023,4,5,수,아파트,"서울특별시 관악구 참숯1길 19, 504동 8층803호 (봉천동,이편한세상서울대입구2차)",서울특별시,관악구,참숯1길,19,84.31,25.5,1380000000,1104000000,20,1,
65,2023-03-22-191046,서울중앙지방법원,경매7계,2022타경1962,1.0,2023-03-23,2023,3,23,목,근린시설,"서울특별시 서초구 매헌로 16, 지1층리빙관지1지135호 (양재동,하이브랜드)",서울특별시,서초구,매헌로,16,192.21,58.1,2520000000,2520000000,0,0,
66,2023-03-22-191046,서울중앙지방법원,경매7계,2022타경1962,2.0,2023-03-23,2023,3,23,목,근린시설,"서울특별시 서초구 매헌로 16, 지1층리빙관지1지136호 (양재동,하이브랜드)",서울특별시,서초구,매헌로,16,198.04,59.9,2690000000,2690000000,0,0,
67,2023-03-22-191046,서울중앙지방법원,경매7계,2022타경2019,1.0,2023-03-23,2023,3,23,목,근린시설,"서울특별시 강남구 선릉로127길 5-6, 3층304호 (논현동,논현더라움)",서울특별시,강남구,선릉로127길,5-6,45.9,13.9,541000000,541000000,0,0,
68,2023-03-22-191046,서울중앙지방법원,경매7계,2022타경2071,1.0,2023-03-23,2023,3,23,목,근린시설,"서울특별시 관악구 남부순환로 1802, 지하층비109호 (봉천동,관악캠퍼스타워)",서울특별시,관악구,남부순환로,1802,9.93,3.0,18700000,14960000,20,1,
69,2023-03-22-191046,서울중앙지방법원,경매7계,2022타경2071,2.0,2023-03-23,2023,3,23,목,근린시설,"서울특별시 관악구 남부순환로 1802, 지하층비110호 (봉천동,관악캠퍼스타워)",서울특별시,관악구,남부순환로,1802,7.44,2.3,14800000,11840000,20,1,
70,2023-03-22-191046,서울중앙지방법원,경매7계,2022타경2071,3.0,2023-03-23,2023,3,23,목,근린시설,"서울특별시 관악구 남부순환로 1802, 지하층비111호 (봉천동,관악캠퍼스타워)",서울특별시,관악구,남부순환로,1802,6.0,1.8,12400000,9920000,20,1,
71,2023-03-22-191046,서울중앙지방법원,경매7계,2022타경2071,4.0,2023-03-23,2023,3,23,목,근린시설,"서울특별시 관악구 남부순환로 1802, 지하층비115호 (봉천동,관악캠퍼스타워)",서울특별시,관악구,남부순환로,1802,6.0,1.8,13700000,10960000,20,1,
72,2023-03-22-191046,서울중앙지방법원,경매7계,2022타경2071,5.0,2023-03-23,2023,3,23,목,근린시설,"서울특별시 관악구 남부순환로 1802, 지하층비124호 (봉천동,관악캠퍼스타워)",서울특별시,관악구,남부순환로,1802,5.7,1.7,13300000,10640000,20,1,
73,2023-03-22-191046,서울중앙지방법원,경매21계,2022타경2156,1.0,2023-03-28,2023,3,28,화,아파트,"서울특별시 강남구 봉은사로21길 19, 101동 6층602호 (논현동,논현동2차한화꿈에그린아파트)",서울특별시,강남구,봉은사로21길,19,117.335,35.5,1750000000,1120000000,36,2,
74,2023-03-22-191046,서울중앙지방법원,경매7계,2022타경2231,1.0,2023-03-23,2023,3,23,목,근린시설,"서울특별시 서초구 양재대로11길 36, 지1층은관(나동)비104호 (양재동,서울오토갤러리)",서울특별시,서초구,양재대로11길,36,66.0,20.0,529000000,529000000,0,0,
75,2023-03-22-191046,서울중앙지방법원,경매10계,2022타경2583,1.0,2023-04-05,2023,4,5,수,근린시설,"서울특별시 서초구 도구로 51, 1층102호",서울특별시,서초구,도구로,51,65.575,19.8,598000000,478400000,20,1,
76,2023-03-22-191046,서울중앙지방법원,경매21계,2022타경2934,1.0,2023-03-28,2023,3,28,화,오피스텔,"서울특별시 서초구 양재대로2길 100-61, 8층801호 (우면동,미라쉘)",서울특별시,서초구,양재대로2길,100-61,18.94,5.7,152000000,121600000,20,1,
77,2023-03-22-191046,서울중앙지방법원,경매21계,2022타경3005,1.0,2023-03-28,2023,3,28,화,다세대,"서울특별시 관악구 조원로31길 58, 1층103호",서울특별시,관악구,조원로31길,58,67.08,20.3,355000000,284000000,20,1,
78,2023-03-22-191046,서울중앙지방법원,경매10계,2022타경3043,1.0,2023-04-05,2023,4,5,수,상가,"서울특별시 중구 소월로 3, 지하1층 260호",서울특별시,중구,소월로,3,,,15543000000,15543000000,0,0,일괄매각
79,2023-03-22-191046,서울중앙지방법원,경매10계,2022타경3043,1.0,2023-04-05,2023,4,5,수,상가,"서울특별시 중구 소월로 3, 지하1층 275호",서울특별시,중구,소월로,3,,,15543000000,15543000000,0,0,일괄매각
80,2023-03-22-191046,서울중앙지방법원,경매10계,2022타경3043,1.0,2023-04-05,2023,4,5,수,상가,"서울특별시 중구 소월로 3, 지하1층 295호",서울특별시,중구,소월로,3,,,15543000000,15543000000,0,0,일괄매각
81,2023-03-22-191046,서울중앙지방법원,경매10계,2022타경3050,1.0,2023-04-05,2023,4,5,수,다세대,"서울특별시 동작구 사당로23아길 42, 5층501호 (사당동,엘파라시오)",서울특별시,동작구,사당로23아길,42,22.721,6.9,260000000,208000000,20,1,
82,2023-03-22-191046,서울중앙지방법원,경매4계,2022타경3203,1.0,2023-03-22,2023,3,22,수,근린시설,"서울특별시 중구 퇴계로 115, 13층1313호 (충무로1가,밀리오레명동)",서울특별시,중구,퇴계로,115,28.14,8.5,510000000,510000000,0,0,
83,2023-03-22-191046,서울중앙지방법원,경매7계,2022타경3210,1.0,2023-03-23,2023,3,23,목,아파트,"서울특별시 종로구 동망산길 19, 102동 10층1004호 (창신동,창신쌍용아파트)",서울특별시,종로구,동망산길,19,79.87,24.2,900000000,900000000,0,0,
84,2023-03-22-191046,서울중앙지방법원,경매10계,2022타경3227,1.0,2023-04-05,2023,4,5,수,상가,서울특별시 중구 을지로6가 18-17,서울특별시,중구,을지로6가,18-17,1331.6,402.8,280000000,280000000,0,0,
85,2023-03-22-191046,서울중앙지방법원,경매10계,2022타경3227,1.0,2023-04-05,2023,4,5,수,상가,서울특별시 중구 을지로6가 18-185 밀리오레 14층5호,서울특별시,중구,을지로6가,18-185,14.14,4.3,280000000,280000000,0,0,
86,2023-03-22-191046,서울중앙지방법원,경매10계,2022타경3234,1.0,2023-04-05,2023,4,5,수,상가,서울특별시 중구 을지로6가 18-17,서울특별시,중구,을지로6가,18-17,1331.6,402.8,351000000,351000000,0,0,
87,2023-03-22-191046,서울중앙지방법원,경매21계,2022타경3241,1.0,2023-03-28,2023,3,28,화,아파트,"서울특별시 강남구 헌릉로571길 20, 109동 2층204호 (세곡동,강남엘에이치1단지)",서울특별시,강남구,헌릉로571길,20,84.84,25.7,1730000000,1384000000,20,1,
88,2023-03-22-191046,서울중앙지방법원,경매10계,2022타경3388,1.0,2023-04-05,2023,4,5,수,다세대,"서울특별시 관악구 봉천로23다길 49-10, 4층402호 (봉천동,수팰리스에프티)",서울특별시,관악구,봉천로23다길,49-10,22.36,6.8,245000000,245000000,0,0,
89,2023-03-22-191046,서울중앙지방법원,경매10계,2022타경3418,1.0,2023-04-05,2023,4,5,수,아파트,서울특별시 종로구 창신동 578-5,서울특별시,종로구,창신동,578-5,1050.2,317.7,453000000,453000000,0,0,
90,2023-03-22-191046,서울중앙지방법원,경매10계,2022타경3432,1.0,2023-04-05,2023,4,5,수,아파트,"서울특별시 강남구 자곡로3길 21, 503동 6층617호 (자곡동,엘에이치강남힐스테이트)",서울특별시,강남구,자곡로3길,21,51.99,15.7,1070000000,1070000000,0,0,
91,2023-03-22-191046,서울중앙지방법원,경매10계,2022타경3579,1.0,2023-04-05,2023,4,5,수,아파트,"서울특별시 관악구 남부순환로166길 90, 3층304호 (신림동,에셀비전21아파트)",서울특별시,관악구,남부순환로166길,90,84.64,25.6,617000000,617000000,0,0,
92,2023-03-22-191046,서울중앙지방법원,경매4계,2022타경100289,1.0,2023-03-22,2023,3,22,수,아파트,"서울특별시 관악구 난곡로35나길 12, 2층202호",서울특별시,관악구,난곡로35나길,12,36.805,11.1,204000000,83558000,60,4,
93,2023-03-22-191046,서울중앙지방법원,경매7계,2022타경100302,1.0,2023-03-23,2023,3,23,목,상가,"서울특별시 중구 마장로 40, 3층27호 (신당동,에이.피.엠)",서울특별시,중구,마장로,40,3.96,1.2,112000000,57344000,49,3,
94,2023-03-22-191046,서울중앙지방법원,경매4계,2022타경100395,1.0,2023-03-22,2023,3,22,수,아파트,"서울특별시 관악구 승방길 27, 비동 6층601호 (남현동,한울아파트)",서울특별시,관악구,승방길,27,21.62,6.5,231000000,147840000,36,2,
95,2023-03-22-191046,서울중앙지방법원,경매21계,2022타경101152,1.0,2023-03-28,2023,3,28,화,다세대,"서울특별시 강남구 선릉로127길 5-6, 2층202호 (논현동,논현더라움)",서울특별시,강남구,선릉로127길,5-6,46.45,14.1,519000000,170066000,68,5,
96,2023-03-22-191046,서울중앙지방법원,경매4계,2022타경101565,1.0,2023-03-22,2023,3,22,수,다세대,"서울특별시 관악구 난곡로61길 43, 비동 3층301호 (신림동,메트로타운8차)",서울특별시,관악구,난곡로61길,43,42.06,12.7,413000000,169165000,60,4,
97,2023-03-22-191046,서울중앙지방법원,경매7계,2022타경101770,1.0,2023-03-23,2023,3,23,목,상가,"서울특별시 중구 을지로45길 62, 지하2층702호 (신당동,누죤빌딩)",서울특별시,중구,을지로45길,62,5.04,1.5,67000000,34304000,49,3,
98,2023-03-22-191046,서울중앙지방법원,경매21계,2022타경101800,1.0,2023-03-28,2023,3,28,화,아파트,"서울특별시 종로구 동망산길 47, 101동 7층704호 (숭인동,종로센트레빌)",서울특별시,종로구,동망산길,47,59.92,18.1,1007000000,644480000,36,2,
99,2023-03-22-191046,서울중앙지방법원,경매21계,2022타경102490,1.0,2023-03-28,2023,3,28,화,다세대,"서울특별시 동작구 매봉로2길 8-6, 5층502호 (상도동,일등하우스)",서울특별시,동작구,매봉로2길,8-6,29.59,9.0,330440000,135349000,60,4,
100,2023-03-22-191046,서울중앙지방법원,경매10계,2022타경102926,1.0,2023-04-05,2023,4,5,수,기타,"서울특별시 중구 장충단로 263, 지하1층27호 (을지로6가,밀리오레)",서울특별시,중구,장충단로,263,3.79,1.1,65000000,26624000,60,4,
101,2023-03-22-191046,서울중앙지방법원,경매4계,2022타경103004,1.0,2023-03-22,2023,3,22,수,다세대,"서울특별시 동작구 국사봉길 109-6, 4층403호 (상도동,주원베르빌102)",서울특별시,동작구,국사봉길,109-6,28.95,8.8,316000000,129434000,60,4,
